file,total bibls,m-level,j-level,a-level,s-level,u-level
2212-5019_beh_fulltextxml_COM-9000000111.xml,21,21,0,0,0,0
2212-5019_beh_fulltextxml_COM-9000000112.xml,26,22,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000113.xml,20,20,0,0,0,0
2212-5019_beh_fulltextxml_COM-9000000114.xml,15,11,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000116.xml,56,40,8,8,0,0
2212-5019_beh_fulltextxml_COM-9000000117.xml,48,32,8,8,0,0
2212-5019_beh_fulltextxml_COM-9000000118.xml,39,37,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000119.xml,32,20,6,6,0,0
2212-5019_beh_fulltextxml_COM-9000000120.xml,35,27,4,4,0,0
2212-5019_beh_fulltextxml_COM-9000000121.xml,19,19,0,0,0,0
2212-5019_beh_fulltextxml_COM-9000000122.xml,19,19,0,0,0,0
2212-5019_beh_fulltextxml_COM-9000000123.xml,9,9,0,0,0,0
2212-5019_beh_fulltextxml_COM-9000000124.xml,24,24,0,0,0,0
2212-5019_beh_fulltextxml_COM-9000000125.xml,17,13,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000126.xml,24,16,4,4,0,0
2212-5019_beh_fulltextxml_COM-9000000127.xml,21,19,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000128.xml,34,28,3,3,0,0
2212-5019_beh_fulltextxml_COM-9000000129.xml,15,15,0,0,0,0
2212-5019_beh_fulltextxml_COM-9000000130.xml,61,47,7,7,0,0
2212-5019_beh_fulltextxml_COM-9000000131.xml,50,34,8,8,0,0
2212-5019_beh_fulltextxml_COM-9000000132.xml,18,16,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000133.xml,38,16,11,11,0,0
2212-5019_beh_fulltextxml_COM-9000000134.xml,47,25,11,11,0,0
2212-5019_beh_fulltextxml_COM-9000000135.xml,16,10,3,3,0,0
2212-5019_beh_fulltextxml_COM-9000000136.xml,36,22,7,7,0,0
2212-5019_beh_fulltextxml_COM-9000000139.xml,91,67,12,12,0,0
2212-5019_beh_fulltextxml_COM-9000000142.xml,34,20,7,7,0,0
2212-5019_beh_fulltextxml_COM-9000000143.xml,49,27,11,11,0,0
2212-5019_beh_fulltextxml_COM-9000000147.xml,90,56,17,17,0,0
2212-5019_beh_fulltextxml_COM-9000000148.xml,28,20,4,4,0,0
2212-5019_beh_fulltextxml_COM-9000000149.xml,41,35,3,3,0,0
2212-5019_beh_fulltextxml_COM-9000000150.xml,122,94,14,14,0,0
2212-5019_beh_fulltextxml_COM-9000000151.xml,55,39,8,8,0,0
2212-5019_beh_fulltextxml_COM-9000000152.xml,21,19,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000153.xml,45,37,4,4,0,0
2212-5019_beh_fulltextxml_COM-9000000154.xml,48,18,15,15,0,0
2212-5019_beh_fulltextxml_COM-9000000155.xml,26,20,3,3,0,0
2212-5019_beh_fulltextxml_COM-9000000156.xml,59,33,13,13,0,0
2212-5019_beh_fulltextxml_COM-9000000157.xml,53,35,9,9,0,0
2212-5019_beh_fulltextxml_COM-9000000158.xml,47,45,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000159.xml,159,123,18,18,0,0
2212-5019_beh_fulltextxml_COM-9000000160.xml,19,17,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000161.xml,26,20,3,3,0,0
2212-5019_beh_fulltextxml_COM-9000000162.xml,29,25,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000163.xml,59,47,6,6,0,0
