file,total bibls,m-level,j-level,a-level,s-level,u-level
1877-0339_bec_fulltextxml_SIM-00149.xml,7,0,2,5,0,0
1877-0339_bec_fulltextxml_SIM-00150.xml,14,0,0,14,0,0
1877-0339_bec_fulltextxml_SIM-00151.xml,8,1,2,5,0,0
1877-0339_bec_fulltextxml_SIM-00152.xml,5,0,0,5,0,0
1877-0339_bec_fulltextxml_SIM-00153.xml,5,0,1,4,0,0
1877-0339_bec_fulltextxml_SIM-00154.xml,10,1,0,9,0,0
1877-0339_bec_fulltextxml_SIM-00155.xml,7,1,2,4,0,0
1877-0339_bec_fulltextxml_SIM-00156.xml,9,0,0,9,0,0
1877-0339_bec_fulltextxml_SIM-00157.xml,6,0,0,6,0,0
1877-0339_bec_fulltextxml_SIM-00158.xml,5,0,1,4,0,0
1877-0339_bec_fulltextxml_SIM-00159.xml,9,0,0,9,0,0
1877-0339_bec_fulltextxml_SIM-00160.xml,3,1,0,2,0,0
1877-0339_bec_fulltextxml_SIM-00161.xml,9,0,0,9,0,0
1877-0339_bec_fulltextxml_SIM-00162.xml,2,0,0,2,0,0
1877-0339_bec_fulltextxml_SIM-00163.xml,5,0,1,4,0,0
1877-0339_bec_fulltextxml_SIM-00164.xml,3,0,0,3,0,0
1877-0339_bec_fulltextxml_SIM-00165.xml,7,0,1,6,0,0
1877-0339_bec_fulltextxml_SIM-00166.xml,6,0,0,6,0,0
1877-0339_bec_fulltextxml_SIM-00167.xml,7,0,2,5,0,0
1877-0339_bec_fulltextxml_SIM-00168.xml,6,0,1,5,0,0
1877-0339_bec_fulltextxml_SIM-00169.xml,5,0,0,5,0,0
1877-0339_bec_fulltextxml_SIM-00170.xml,4,0,1,3,0,0
1877-0339_bec_fulltextxml_SIM-00171.xml,3,0,0,3,0,0
1877-0339_bec_fulltextxml_SIM-00172.xml,7,0,1,6,0,0
1877-0339_bec_fulltextxml_SIM-00173.xml,0,0,0,0,0,0
1877-0339_bec_fulltextxml_SIM-00174.xml,14,0,2,12,0,0
1877-0339_bec_fulltextxml_SIM-00175.xml,8,1,2,5,0,0
1877-0339_bec_fulltextxml_SIM-00176.xml,4,1,0,3,0,0
1877-0339_bec_fulltextxml_SIM-00177.xml,7,0,1,6,0,0
1877-0339_bec_fulltextxml_SIM-00178.xml,13,1,2,10,0,0
1877-0339_bec_fulltextxml_SIM-00179.xml,6,0,0,6,0,0
1877-0339_bec_fulltextxml_SIM-00180.xml,5,0,0,5,0,0
1877-0339_bec_fulltextxml_SIM-00181.xml,6,0,1,5,0,0
1877-0339_bec_fulltextxml_SIM-00182.xml,8,0,2,6,0,0
1877-0339_bec_fulltextxml_SIM-00183.xml,2,0,0,2,0,0
1877-0339_bec_fulltextxml_SIM-00184.xml,8,0,2,6,0,0
1877-0339_bec_fulltextxml_SIM-00185.xml,1,0,0,1,0,0
1877-0339_bec_fulltextxml_SIM-00186.xml,4,0,0,4,0,0
1877-0339_bec_fulltextxml_SIM-00187.xml,6,0,1,5,0,0
1877-0339_bec_fulltextxml_SIM-00188.xml,7,0,2,5,0,0
1877-0339_bec_fulltextxml_SIM-00189.xml,6,0,1,5,0,0
1877-0339_bec_fulltextxml_SIM-00190.xml,6,1,0,5,0,0
1877-0339_bec_fulltextxml_SIM-00191.xml,5,0,0,5,0,0
1877-0339_bec_fulltextxml_SIM-00192.xml,8,0,2,6,0,0
1877-0339_bec_fulltextxml_SIM-00193.xml,2,0,0,2,0,0
1877-0339_bec_fulltextxml_SIM-00194.xml,6,0,2,4,0,0
1877-0339_bec_fulltextxml_SIM-00195.xml,3,0,0,3,0,0
1877-0339_bec_fulltextxml_SIM-00196.xml,9,0,2,7,0,0
1877-0339_bec_fulltextxml_SIM-00197.xml,2,0,1,1,0,0
1877-0339_bec_fulltextxml_SIM-00198.xml,8,0,1,7,0,0
1877-0339_bec_fulltextxml_SIM-00199.xml,11,0,3,8,0,0
1877-0339_bec_fulltextxml_SIM-00200.xml,6,0,1,5,0,0
1877-0339_bec_fulltextxml_SIM-00201.xml,8,1,2,5,0,0
1877-0339_bec_fulltextxml_SIM-00202.xml,35,1,9,25,0,0
1877-0339_bec_fulltextxml_SIM-00203.xml,8,1,0,7,0,0
1877-0339_bec_fulltextxml_SIM-00204.xml,6,0,2,4,0,0
1877-0339_bec_fulltextxml_SIM-00205.xml,5,0,0,5,0,0
1877-0339_bec_fulltextxml_SIM-00206.xml,4,0,0,4,0,0
1877-0339_bec_fulltextxml_SIM-00207.xml,9,0,1,8,0,0
1877-0339_bec_fulltextxml_SIM-00208.xml,3,1,0,2,0,0
1877-0339_bec_fulltextxml_SIM-00209.xml,5,0,1,4,0,0
1877-0339_bec_fulltextxml_SIM-00210.xml,7,2,0,5,0,0
1877-0339_bec_fulltextxml_SIM-00211.xml,0,0,0,0,0,0
1877-0339_bec_fulltextxml_SIM-00212.xml,6,0,1,5,0,0
1877-0339_bec_fulltextxml_SIM-00213.xml,4,0,0,4,0,0
1877-0339_bec_fulltextxml_SIM-00214.xml,3,0,0,3,0,0
1877-0339_bec_fulltextxml_SIM-00215.xml,5,0,0,5,0,0
1877-0339_bec_fulltextxml_SIM-00216.xml,7,0,1,6,0,0
1877-0339_bec_fulltextxml_SIM-00217.xml,2,0,0,2,0,0
1877-0339_bec_fulltextxml_SIM-00218.xml,3,0,0,3,0,0
1877-0339_bec_fulltextxml_SIM-00219.xml,0,0,0,0,0,0
1877-0339_bec_fulltextxml_SIM-00220.xml,8,1,0,7,0,0
1877-0339_bec_fulltextxml_SIM-00024.xml,6,0,0,6,0,0
1877-0339_bec_fulltextxml_SIM-00025.xml,5,0,0,5,0,0
1877-0339_bec_fulltextxml_SIM-00026.xml,3,0,1,2,0,0
1877-0339_bec_fulltextxml_SIM-00027.xml,3,0,1,2,0,0
1877-0339_bec_fulltextxml_SIM-00028.xml,1,0,0,1,0,0
1877-0339_bec_fulltextxml_SIM-00029.xml,3,0,1,2,0,0
1877-0339_bec_fulltextxml_SIM-00030.xml,5,1,1,3,0,0
1877-0339_bec_fulltextxml_SIM-00031.xml,4,1,0,3,0,0
1877-0339_bec_fulltextxml_SIM-00032.xml,1,0,0,1,0,0
1877-0339_bec_fulltextxml_SIM-00033.xml,0,0,0,0,0,0
1877-0339_bec_fulltextxml_SIM-00034.xml,5,0,1,4,0,0
1877-0339_bec_fulltextxml_SIM-00035.xml,5,0,1,4,0,0
1877-0339_bec_fulltextxml_SIM-00036.xml,2,0,0,2,0,0
1877-0339_bec_fulltextxml_SIM-00037.xml,7,0,1,6,0,0
1877-0339_bec_fulltextxml_SIM-00038.xml,9,0,2,7,0,0
1877-0339_bec_fulltextxml_SIM-00039.xml,3,0,0,3,0,0
1877-0339_bec_fulltextxml_SIM-00040.xml,6,1,2,3,0,0
1877-0339_bec_fulltextxml_SIM-00041.xml,4,0,0,4,0,0
1877-0339_bec_fulltextxml_SIM-00042.xml,3,0,0,3,0,0
1877-0339_bec_fulltextxml_SIM-00043.xml,2,0,0,2,0,0
1877-0339_bec_fulltextxml_SIM-00044.xml,2,0,0,2,0,0
1877-0339_bec_fulltextxml_SIM-00045.xml,2,0,0,2,0,0
1877-0339_bec_fulltextxml_SIM-00046.xml,4,0,1,3,0,0
1877-0339_bec_fulltextxml_SIM-00047.xml,4,0,1,3,0,0
1877-0339_bec_fulltextxml_SIM-00048.xml,3,1,0,2,0,0
1877-0339_bec_fulltextxml_SIM-00049.xml,4,2,0,2,0,0
1877-0339_bec_fulltextxml_SIM-00050.xml,6,1,1,4,0,0
1877-0339_bec_fulltextxml_SIM-00051.xml,4,0,0,4,0,0
1877-0339_bec_fulltextxml_SIM-00052.xml,4,1,0,3,0,0
1877-0339_bec_fulltextxml_SIM-00053.xml,14,0,2,12,0,0
1877-0339_bec_fulltextxml_SIM-00054.xml,5,0,0,5,0,0
1877-0339_bec_fulltextxml_SIM-00055.xml,2,0,0,2,0,0
1877-0339_bec_fulltextxml_SIM-00056.xml,20,0,3,17,0,0
1877-0339_bec_fulltextxml_SIM-00057.xml,2,1,0,1,0,0
1877-0339_bec_fulltextxml_SIM-00058.xml,6,1,0,5,0,0
