file,total bibls,m-level,j-level,a-level,s-level,u-level
2213-2139_emdt_fulltextxml_COM-129.xml,21,15,3,3,0,0
huidig-thb.xml,8,8,0,0,0,0
idem.xml,28,22,3,3,0,0
test.xml,15,15,0,0,0,0
